                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.054,                 3.7544,                 1.7151,                0.00636,                  0.875,                0.21038,                0.12648,                 1.6194,                 3.3018,                 1.3166,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 2.1249,                 3.6698,                 1.7244,                0.00625,                  0.875,                0.35931,                0.20826,                 1.6451,                  3.297,                 1.2921,             8.0599e-05,             8.0599e-05,             8.0599e-05
                      3,                  1.872,                 3.4882,                 1.5972,                  0.006,                  0.875,                0.42969,                0.22476,                 1.5687,                  3.322,                 1.2437,             0.00012456,             0.00012456,             0.00012456
                      4,                 1.7067,                 2.9983,                 1.4485,                0.00525,                0.79167,                  0.524,                0.28127,                 1.5511,                 3.2668,                 1.2258,             0.00016522,             0.00016522,             0.00016522
                      5,                 1.8656,                 2.7249,                   1.58,                0.00524,                0.79167,                0.49297,                 0.2898,                  1.524,                 3.0795,                 1.2032,             0.00020257,             0.00020257,             0.00020257
                      6,                 2.0011,                 2.7181,                 1.6001,                0.00529,                0.79167,                0.46748,                0.29858,                 1.4023,                 3.0113,                 1.1901,             0.00023663,             0.00023663,             0.00023663
                      7,                 1.7105,                 2.3112,                  1.403,                0.00576,                  0.875,                0.54152,                0.33705,                 1.3626,                 3.0309,                 1.1851,             0.00026739,             0.00026739,             0.00026739
                      8,                 1.7044,                 2.3039,                 1.3755,                0.00531,                0.79167,                0.52185,                0.31617,                 1.3829,                 3.0385,                 1.1934,             0.00029484,             0.00029484,             0.00029484
                      9,                 1.6739,                 2.3051,                 1.4105,                0.00531,                0.79167,                0.51722,                0.29871,                 1.3867,                 3.0962,                 1.2331,               0.000319,               0.000319,               0.000319
                     10,                 1.6635,                  2.216,                 1.4038,                 0.0053,                0.79167,                0.47935,                0.28123,                 1.4907,                 3.0247,                 1.2295,             0.00033985,             0.00033985,             0.00033985
                     11,                 1.5889,                 2.1615,                 1.3576,                0.00534,                0.79167,                0.44996,                0.24785,                 1.7484,                  3.127,                   1.38,              0.0003574,              0.0003574,              0.0003574
                     12,                 1.5844,                 2.0286,                 1.3526,                0.36192,                0.52083,                0.42462,                0.23154,                 1.7114,                  3.179,                 1.3937,             0.00037166,             0.00037166,             0.00037166
                     13,                 1.5923,                 2.0845,                 1.3091,                    0.5,                0.15871,                0.36473,                0.20579,                 1.6925,                 3.3169,                 1.4573,             0.00038261,             0.00038261,             0.00038261
                     14,                 1.4415,                 1.7986,                 1.2446,                0.27277,                0.08333,                0.32634,                0.17618,                 1.6863,                 3.3196,                 1.4474,             0.00039026,             0.00039026,             0.00039026
                     15,                  1.564,                 1.8156,                 1.2812,                0.49641,                0.33243,                0.40324,                0.22835,                 1.5117,                 3.2005,                 1.3599,             0.00039461,             0.00039461,             0.00039461
                     16,                 1.4233,                 1.9507,                 1.2661,                0.00572,                  0.875,                0.53064,                 0.3122,                 1.3628,                 3.1558,                 1.3072,             0.00039566,             0.00039566,             0.00039566
                     17,                 1.4735,                 1.7803,                  1.235,                0.00528,                0.79167,                0.60204,                0.31981,                 1.4786,                 3.0603,                 1.2889,             0.00039341,             0.00039341,             0.00039341
                     18,                 1.4902,                 1.7898,                 1.2422,                0.00593,                  0.875,                0.57484,                0.27501,                    1.5,                  3.011,                 1.2859,             0.00038786,             0.00038786,             0.00038786
                     19,                 1.4272,                    1.8,                 1.2252,                0.69471,                0.41931,                  0.574,                0.24557,                 1.4645,                 3.0245,                 1.2951,             0.00037901,             0.00037901,             0.00037901
                     20,                 1.3374,                 1.5829,                 1.1915,                0.79029,                0.30037,                0.59592,                 0.2491,                 1.5116,                 2.9965,                 1.3151,             0.00036686,             0.00036686,             0.00036686
                     21,                 1.3559,                  2.041,                 1.1766,                0.64414,                0.30124,                0.52617,                0.22255,                 1.5581,                 3.0895,                 1.3736,              0.0003514,              0.0003514,              0.0003514
                     22,                 1.3301,                 1.9897,                 1.2086,                0.58695,                0.28221,                 0.4516,                0.19332,                 1.5764,                 3.1777,                  1.437,             0.00033265,             0.00033265,             0.00033265
                     23,                 1.3085,                  1.834,                 1.1726,                0.53355,                0.22917,                0.37036,                0.15906,                 1.6169,                 3.2092,                 1.4749,              0.0003106,              0.0003106,              0.0003106
                     24,                 1.2488,                 1.8444,                 1.1444,                0.45902,                0.17041,                0.41598,                0.18856,                 1.5867,                 3.1755,                 1.4572,             0.00028524,             0.00028524,             0.00028524
                     25,                 1.2511,                 1.8768,                 1.1516,                0.65939,                 0.0625,                0.42405,                0.21294,                 1.5323,                 3.1027,                 1.4047,             0.00025658,             0.00025658,             0.00025658
                     26,                  1.333,                 1.9397,                 1.2695,                0.33327,                0.14616,                0.41743,                0.21078,                  1.518,                 3.0271,                 1.3756,             0.00022463,             0.00022463,             0.00022463
                     27,                 1.2751,                 1.7845,                 1.1207,                0.63745,                0.34132,                0.46361,                0.27195,                 1.4732,                 2.8776,                 1.3358,             0.00018937,             0.00018937,             0.00018937
                     28,                  1.197,                 1.6667,                 1.1359,                0.67511,                 0.4127,                0.57092,                0.33509,                 1.4707,                 2.7683,                 1.3245,             0.00015081,             0.00015081,             0.00015081
                     29,                 1.1963,                 1.6237,                 1.1825,                0.67511,                 0.4127,                0.57092,                0.33509,                 1.4707,                 2.7683,                 1.3245,             0.00010896,             0.00010896,             0.00010896
                     30,                 1.2833,                 1.7501,                 1.1851,                0.73028,                0.51357,                0.62534,                 0.3861,                 1.4612,                 2.6296,                 1.3052,             6.3796e-05,             6.3796e-05,             6.3796e-05
